City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,San+Andres,CO,2021-01-30 00:57:50,12.5847,-81.7006,80.6,74,20,9.22
252,Liku,ID,2021-01-30 01:02:34,-0.7275,119.8922,82.45,64,61,1.5
253,Atalanti,GR,2021-01-30 01:02:34,38.6511,22.9992,52.0,83,100,4.0
254,Hami,CN,2021-01-30 01:02:34,42.8,93.45,17.87,86,0,2.01
255,Port+Hardy,CA,2021-01-30 00:58:40,50.6996,-127.4199,42.8,87,90,23.02
256,Naze,JP,2021-01-30 00:54:24,28.3667,129.4833,57.2,58,75,10.36
257,Cullinan,ZA,2021-01-30 01:02:34,-25.6709,28.5236,68.0,100,100,1.14
258,Hualmay,PE,2021-01-30 00:58:21,-11.0964,-77.6139,70.92,78,92,7.23
259,Saint-Joseph,RE,2021-01-30 00:58:09,-21.3667,55.6167,78.8,61,0,6.91
260,Pangnirtung,CA,2021-01-30 00:53:15,66.1451,-65.7125,-2.88,66,0,1.63
261,Bac+Lieu,VN,2021-01-30 01:02:35,9.285,105.7244,76.55,71,100,13.24
262,Papara,BR,2021-01-30 01:02:35,-3.9839,-38.7273,81.0,83,40,12.66
263,Lannion,FR,2021-01-30 01:02:35,48.75,-3.4167,51.8,93,75,10.36
264,Bethel,US,2021-01-30 00:57:40,41.3712,-73.414,16.0,58,0,1.01
265,Yeppoon,AU,2021-01-30 01:02:35,-23.1333,150.7333,84.2,58,75,12.66
266,Araouane,ML,2021-01-30 00:58:04,18.9048,-3.5265,67.14,22,0,10.11
267,Abu+Kamal,SY,2021-01-30 01:02:36,34.4506,40.9171,45.16,66,0,9.84
268,Provideniya,RU,2021-01-30 00:53:12,64.3833,-173.3,-5.91,81,0,5.21
269,Sao+Sebastiao+Do+Cai,BR,2021-01-30 01:01:31,-29.5867,-51.3756,75.99,83,0,1.01
270,Cumpas,MX,2021-01-30 01:02:36,29.9833,-109.7833,59.27,42,0,11.81
271,Kapuskasing,CA,2021-01-30 01:02:36,49.4169,-82.4331,1.4,78,95,5.75
272,Ilulissat,GL,2021-01-30 00:57:52,69.2167,-51.1,-0.4,60,0,4.61
273,Dauphin,CA,2021-01-30 01:02:37,51.1494,-100.0502,14.0,85,90,12.66
274,Trapani,IT,2021-01-30 01:02:37,37.8333,12.6667,61.0,94,20,21.85
275,Dingle,PH,2021-01-30 00:57:40,10.9995,122.6711,75.09,89,100,12.95
276,Lompoc,US,2021-01-30 00:54:03,34.6391,-120.4579,51.8,82,75,4.61
277,Mondlo,ZA,2021-01-30 01:02:37,-27.983,30.7177,64.51,98,100,2.93
278,Samana,DO,2021-01-30 01:02:37,19.2056,-69.3369,73.38,81,31,7.18
279,Bow+Island,CA,2021-01-30 01:00:02,49.8668,-111.3684,12.2,85,0,5.75
280,Riyadh,SA,2021-01-30 00:56:52,24.6877,46.7219,64.4,27,29,11.5
281,Sur,OM,2021-01-30 01:02:38,22.5667,59.5289,63.18,52,0,7.4
282,Amboasary,MG,2021-01-30 01:02:38,-25.0333,46.3833,80.6,83,20,16.11
283,Rudbar,AF,2021-01-30 01:02:38,30.15,62.6,51.87,33,18,2.28
284,Burriana,ES,2021-01-30 01:02:38,39.889,-0.085,62.01,59,0,8.84
285,Litovko,RU,2021-01-30 01:02:38,49.2361,135.1742,-1.88,90,100,2.55
286,Znamenskoye,RU,2021-01-30 01:02:38,57.1281,73.8282,-4.32,89,100,6.69
287,Ardakan,IR,2021-01-30 01:02:39,32.31,54.0175,53.6,37,20,4.61
288,Kovur,IN,2021-01-30 01:02:39,14.4833,79.9833,67.8,89,79,3.71
